city,date_time,cloud_cover
2018-01-01 00:00:00,Birmingham,0
2018-01-01 00:00:00,Bristol,32
2018-01-01 00:00:00,Cambridge,40
2018-01-01 00:00:00,Glasgow,40
2018-01-01 00:00:00,Ipswich,20
2018-01-01 00:00:00,London,68
2018-01-01 00:00:00,Manchester,92
2018-01-01 00:00:00,Thurso,92
2018-01-01 00:00:00,York,40
2018-01-01 01:00:00,Birmingham,0
2018-01-01 01:00:00,Bristol,32
2018-01-01 01:00:00,Cambridge,20
2018-01-01 01:00:00,Glasgow,75
2018-01-01 01:00:00,Ipswich,20
2018-01-01 01:00:00,London,20
2018-01-01 01:00:00,Manchester,92
2018-01-01 01:00:00,Thurso,92
2018-01-01 01:00:00,York,20
2018-01-01 02:00:00,Birmingham,75
2018-01-01 02:00:00,Bristol,92
2018-01-01 02:00:00,Cambridge,1
2018-01-01 02:00:00,Glasgow,75
2018-01-01 02:00:00,Ipswich,1
2018-01-01 02:00:00,London,48
2018-01-01 02:00:00,Manchester,92
2018-01-01 02:00:00,Thurso,92
2018-01-01 02:00:00,York,12
2018-01-01 03:00:00,Birmingham,40
2018-01-01 03:00:00,Bristol,92
2018-01-01 03:00:00,Cambridge,1
2018-01-01 03:00:00,Glasgow,75
2018-01-01 03:00:00,Ipswich,1
2018-01-01 03:00:00,London,48
2018-01-01 03:00:00,Manchester,92
2018-01-01 03:00:00,Thurso,92
2018-01-01 03:00:00,York,40
2018-01-01 04:00:00,Birmingham,20
2018-01-01 04:00:00,Bristol,75
2018-01-01 04:00:00,Bristol,75
2018-01-01 04:00:00,Cambridge,1
2018-01-01 04:00:00,Glasgow,64
2018-01-01 04:00:00,Ipswich,1
2018-01-01 04:00:00,London,48
2018-01-01 04:00:00,Manchester,40
2018-01-01 04:00:00,Thurso,92
2018-01-01 04:00:00,York,20
2018-01-01 05:00:00,Birmingham,40
2018-01-01 05:00:00,Bristol,0
2018-01-01 05:00:00,Cambridge,1
2018-01-01 05:00:00,Glasgow,88
2018-01-01 05:00:00,Ipswich,1
2018-01-01 05:00:00,London,92
2018-01-01 05:00:00,Manchester,40
2018-01-01 05:00:00,Thurso,88
2018-01-01 05:00:00,York,40
2018-01-01 06:00:00,Birmingham,20
2018-01-01 06:00:00,Bristol,75
2018-01-01 06:00:00,Cambridge,1
2018-01-01 06:00:00,Glasgow,88
2018-01-01 06:00:00,Ipswich,1
2018-01-01 06:00:00,London,20
2018-01-01 06:00:00,Manchester,88
2018-01-01 06:00:00,Thurso,88
2018-01-01 06:00:00,York,40
2018-01-01 07:00:00,Birmingham,20
2018-01-01 07:00:00,Bristol,0
2018-01-01 07:00:00,Cambridge,1
2018-01-01 07:00:00,Glasgow,88
2018-01-01 07:00:00,Ipswich,1
2018-01-01 07:00:00,London,92
2018-01-01 07:00:00,Manchester,40
2018-01-01 07:00:00,Thurso,88
2018-01-01 07:00:00,York,75
2018-01-01 07:00:00,York,75
2018-01-01 08:00:00,Birmingham,20
2018-01-01 08:00:00,Bristol,0
2018-01-01 08:00:00,Cambridge,1
2018-01-01 08:00:00,Glasgow,40
2018-01-01 08:00:00,Ipswich,1
2018-01-01 08:00:00,London,80
2018-01-01 08:00:00,Manchester,40
2018-01-01 08:00:00,Thurso,80
2018-01-01 08:00:00,York,40
