elevation;Rate of Secrete Keys;Rate of Secrete bits
15;0.05882640625;7.52978
15.5;0.20818671875;26.6479
16;0.36605234375;46.8547
16.5;0.5322234375;68.1246
17;0.70651796875;90.4343
17.5;0.888765625;113.762
18;1.0788125;138.088
18.5;1.2765078125;163.393
19;1.4817109375;189.659
19.5;1.6943046875;216.871
20;1.9141484375;245.011
20.5;2.1411328125;274.065
21;2.375140625;304.018
21.5;2.6160546875;334.855
22;2.8637734375;366.563
22.5;3.1181796875;399.127
23;3.379171875;432.534
23.5;3.646640625;466.77
24;3.920484375;501.822
24.5;4.2006015625;537.677
25;4.4868828125;574.321
25.5;4.7792109375;611.739
26;5.0775;649.92
26.5;5.381625;688.848
27;5.6914921875;728.511
27.5;6.0069765625;768.893
28;6.3279765625;809.981
28.5;6.6543828125;851.761
29;6.9860703125;894.217
29.5;7.3229375;937.336
30;7.664859375;981.102
30.5;8.01171875;1025.5
31;8.363359375;1070.51
31.5;8.719765625;1116.13
32;9.080703125;1162.33
32.5;9.44609375;1209.1
33;9.815859375;1256.43
33.5;10.189765625;1304.29
34;10.567734375;1352.67
34.5;10.9496875;1401.56
35;11.335390625;1450.93
35.5;11.72484375;1500.78
36;12.1178125;1551.08
36.5;12.514140625;1601.81
37;12.91375;1652.96
37.5;13.316484375;1704.51
38;13.722265625;1756.45
38.5;14.13078125;1808.74
39;14.542109375;1861.39
39.5;14.9559375;1914.36
40;15.372265625;1967.65
40.5;15.79078125;2021.22
41;16.211484375;2075.07
41.5;16.634140625;2129.17
42;17.058671875;2183.51
42.5;17.48484375;2238.06
43;17.91265625;2292.82
43.5;18.341796875;2347.75
44;18.7721875;2402.84
44.5;19.203671875;2458.07
45;19.63609375;2513.42
45.5;20.069296875;2568.87
46;20.503203125;2624.41
46.5;20.937578125;2680.01
47;21.372265625;2735.65
47.5;21.8071875;2791.32
48;22.242109375;2846.99
48.5;22.676953125;2902.65
49;23.1115625;2958.28
49.5;23.54578125;3013.86
50;23.979375;3069.36
50.5;24.412265625;3124.77
51;24.844296875;3180.07
51.5;25.275390625;3235.25
52;25.705234375;3290.27
52.5;26.133828125;3345.13
53;26.5609375;3399.8
53.5;26.98640625;3454.26
54;27.41015625;3508.5
54.5;27.83203125;3562.5
55;28.251875;3616.24
55.5;28.669453125;3669.69
56;29.084765625;3722.85
56.5;29.497578125;3775.69
57;29.907734375;3828.19
57.5;30.31515625;3880.34
58;30.7196875;3932.12
58.5;31.12125;3983.52
59;31.51953125;4034.5
59.5;31.91453125;4085.06
60;32.30609375;4135.18
60.5;32.693984375;4184.83
61;33.07828125;4234.02
61.5;33.458671875;4282.71
62;33.835;4330.88
62.5;34.20734375;4378.54
63;34.575390625;4425.65
63.5;34.9390625;4472.2
64;35.29828125;4518.18
64.5;35.6528125;4563.56
65;36.00265625;4608.34
65.5;36.34765625;4652.5
66;36.68765625;4696.02
66.5;37.022578125;4738.89
67;37.35234375;4781.1
67.5;37.67671875;4822.62
68;37.995703125;4863.45
68.5;38.309140625;4903.57
69;38.616953125;4942.97
69.5;38.918984375;4981.63
70;39.215234375;5019.55
70.5;39.50546875;5056.7
71;39.789609375;5093.07
71.5;40.06765625;5128.66
72;40.33953125;5163.46
72.5;40.605;5197.44
73;40.863984375;5230.59
73.5;41.1165625;5262.92
74;41.3625;5294.4
74.5;41.60171875;5325.02
75;41.83421875;5354.78
75.5;42.05984375;5383.66
76;42.27859375;5411.66
76.5;42.4903125;5438.76
77;42.695;5464.96
77.5;42.8925;5490.24
78;43.0828125;5514.6
78.5;43.265859375;5538.03
79;43.441640625;5560.53
79.5;43.61;5582.08
80;43.770859375;5602.67
80.5;43.924296875;5622.31
81;44.070078125;5640.97
81.5;44.208359375;5658.67
82;44.33890625;5675.38
82.5;44.461875;5691.12
83;44.57703125;5705.86
83.5;44.684453125;5719.61
84;44.783984375;5732.35
84.5;44.87578125;5744.1
85;44.959609375;5754.83
85.5;45.035625;5764.56
86;45.103671875;5773.27
86.5;45.16375;5780.96
87;45.215859375;5787.63
87.5;45.26;5793.28
88;45.29609375;5797.9
88.5;45.32421875;5801.5
89;45.344296875;5804.07
89.5;45.356328125;5805.61
90;45.360390625;5806.13
